gmean = 0.9160742881185404, f1 = 0.7685530328702135, acc = 0.9505931712962963, k = 50, loss = nll, lr = 0.001
gmean = 0.9073634308064, f1 = 0.7097781943142769, acc = 0.9327980324074074, k = 50, loss = self_adversarial, lr = 0.001
gmean = 0.7000015430263067, f1 = 0.5882886972310487, acc = 0.9343894675925926, k = 50, loss = self_adversarial, lr = 0.0001
gmean = 0.9269505895662792, f1 = 0.6652209270805096, acc = 0.9106626157407407, k = 50, loss = pairwise, lr = 0.001
gmean = 0.6673339319095503, f1 = 0.6081009994739611, acc = 0.9461082175925926, k = 50, loss = pairwise, lr = 0.0001
gmean = 0.6598130218206598, f1 = 0.598834128245893, acc = 0.9452401620370371, k = 50, loss = nll, lr = 0.0001
gmean = 0.9440375205917289, f1 = 0.745906610066707, acc = 0.9393807870370371, k = 100, loss = pairwise, lr = 0.001
gmean = 0.9172425927236512, f1 = 0.7515589104036757, acc = 0.9452401620370371, k = 100, loss = nll, lr = 0.001
gmean = 0.8555122361248303, f1 = 0.8312937062937064, acc = 0.9720775462962963, k = 100, loss = pairwise, lr = 0.0001
gmean = 0.9018662815702659, f1 = 0.6864766525166767, acc = 0.9252025462962963, k = 100, loss = self_adversarial, lr = 0.001
gmean = 0.6808831164736874, f1 = 0.6062124248496994, acc = 0.9431423611111112, k = 100, loss = self_adversarial, lr = 0.0001
gmean = 0.6719631641897562, f1 = 0.6142557651991615, acc = 0.9467592592592593, k = 200, loss = nll, lr = 0.0001
gmean = 0.674252653494833, f1 = 0.6171548117154811, acc = 0.9470486111111112, k = 100, loss = nll, lr = 0.0001
gmean = 0.8792403739725699, f1 = 0.5864037363777893, acc = 0.8846932870370371, k = 150, loss = self_adversarial, lr = 0.001
gmean = 0.9331133866718887, f1 = 0.6823204419889503, acc = 0.9168113425925926, k = 150, loss = pairwise, lr = 0.001
gmean = 0.7452674911645878, f1 = 0.7047898338220918, acc = 0.9563078703703703, k = 150, loss = pairwise, lr = 0.0001
gmean = 0.9142352392576673, f1 = 0.7268122823678379, acc = 0.9375723379629629, k = 150, loss = nll, lr = 0.001
gmean = 0.6897697001601139, f1 = 0.6060311284046693, acc = 0.94140625, k = 150, loss = self_adversarial, lr = 0.0001
gmean = 0.9336507219780398, f1 = 0.6779661016949151, acc = 0.9147858796296297, k = 200, loss = pairwise, lr = 0.001
gmean = 0.6788084664901075, f1 = 0.6229166666666667, acc = 0.9476273148148148, k = 150, loss = nll, lr = 0.0001
gmean = 0.9139153670354044, f1 = 0.6827847363821731, acc = 0.9212239583333334, k = 200, loss = nll, lr = 0.001
gmean = 0.8348589342502298, f1 = 0.806049822064057, acc = 0.9684606481481481, k = 200, loss = pairwise, lr = 0.0001
gmean = 0.684860639637127, f1 = 0.4387182028410968, acc = 0.8770978009259259, k = 200, loss = self_adversarial, lr = 0.0001
gmean = 0.8279314003250755, f1 = 0.47908232118758437, acc = 0.8324652777777778, k = 200, loss = self_adversarial, lr = 0.001
