gmean = 0.8750709306986304, f1 = 0.8069478908188585, acc = 0.8874421296296297, k = 50, loss = nll, lr = 0.001
gmean = 0.8994615307479952, f1 = 0.845803842264914, acc = 0.9117476851851852, k = 50, loss = pairwise, lr = 0.001
gmean = 0.8673898633377144, f1 = 0.7925219941348974, acc = 0.8771701388888888, k = 50, loss = self_adversarial, lr = 0.001
gmean = 0.900899472506212, f1 = 0.8480708412397217, acc = 0.9131221064814815, k = 100, loss = pairwise, lr = 0.001
gmean = 0.8536199170578177, f1 = 0.8027027027027027, acc = 0.8943865740740741, k = 50, loss = pairwise, lr = 0.0001
gmean = 0.7685416326185661, f1 = 0.6669177652228501, acc = 0.8080873842592593, k = 50, loss = self_adversarial, lr = 0.0001
gmean = 0.8180353270956936, f1 = 0.7568309762460524, acc = 0.8718894675925926, k = 50, loss = nll, lr = 0.0001
gmean = 0.869815593847591, f1 = 0.7972474809535512, acc = 0.8806423611111112, k = 100, loss = self_adversarial, lr = 0.001
gmean = 0.8790075017135052, f1 = 0.8080635308491143, acc = 0.8863570601851852, k = 100, loss = nll, lr = 0.001
gmean = 0.8598369234685781, f1 = 0.8202995008319468, acc = 0.90625, k = 100, loss = pairwise, lr = 0.0001
gmean = 0.8284779529528195, f1 = 0.7787759685569906, acc = 0.8859953703703703, k = 200, loss = nll, lr = 0.0001
gmean = 0.7806076199133652, f1 = 0.6916841004184101, acc = 0.8294270833333334, k = 100, loss = self_adversarial, lr = 0.0001
gmean = 0.8829410747267236, f1 = 0.8227272727272728, acc = 0.8984375, k = 150, loss = pairwise, lr = 0.001
gmean = 0.8501057049153522, f1 = 0.8063263041065484, acc = 0.8990162037037037, k = 100, loss = nll, lr = 0.0001
gmean = 0.8473771778089377, f1 = 0.7627547943553251, acc = 0.8577112268518519, k = 150, loss = self_adversarial, lr = 0.001
gmean = 0.8552505376795795, f1 = 0.8096478004659451, acc = 0.8995225694444444, k = 150, loss = pairwise, lr = 0.0001
gmean = 0.8746623698487564, f1 = 0.803834808259587, acc = 0.8845486111111112, k = 150, loss = nll, lr = 0.001
gmean = 0.8876921245995741, f1 = 0.8269640395940357, acc = 0.9001012731481481, k = 200, loss = pairwise, lr = 0.001
gmean = 0.770499619943267, f1 = 0.677726975832789, acc = 0.8215422453703703, k = 150, loss = self_adversarial, lr = 0.0001
gmean = 0.8130830300105396, f1 = 0.7641645096347426, acc = 0.8813657407407407, k = 150, loss = nll, lr = 0.0001
gmean = 0.8700685996541231, f1 = 0.7964276975776853, acc = 0.8796296296296297, k = 200, loss = nll, lr = 0.001
gmean = 0.8588446154651656, f1 = 0.7826407671502335, acc = 0.8721064814814815, k = 200, loss = self_adversarial, lr = 0.001
gmean = 0.8728964318142075, f1 = 0.8245450923097357, acc = 0.9044415509259259, k = 200, loss = pairwise, lr = 0.0001
gmean = 0.7751931192067575, f1 = 0.679091141179474, acc = 0.8181423611111112, k = 200, loss = self_adversarial, lr = 0.0001
