gmean = 0.856013361759151, f1 = 0.8512037889751348, acc = 0.8545524691358025, k = 50, loss = nll, lr = 0.001
gmean = 0.9066973473492852, f1 = 0.9009819967266776, acc = 0.9066358024691358, k = 50, loss = pairwise, lr = 0.001
gmean = 0.8181653952419059, f1 = 0.8162739796575254, acc = 0.8164866255144033, k = 50, loss = self_adversarial, lr = 0.001
gmean = 0.8993527558527158, f1 = 0.8933333333333333, acc = 0.8991769547325102, k = 50, loss = self_adversarial, lr = 0.0001
gmean = 0.8990641061995502, f1 = 0.8932249322493224, acc = 0.8986625514403292, k = 50, loss = nll, lr = 0.0001
gmean = 0.8999405907227384, f1 = 0.8943747470659653, acc = 0.8993055555555556, k = 50, loss = pairwise, lr = 0.0001
gmean = 0.9095054342166335, f1 = 0.9048128342245989, acc = 0.9084362139917695, k = 100, loss = pairwise, lr = 0.001
gmean = 0.8072045966327998, f1 = 0.8062532034853921, acc = 0.8055555555555556, k = 100, loss = self_adversarial, lr = 0.001
gmean = 0.8270564819450529, f1 = 0.8256291730868002, acc = 0.8253600823045267, k = 100, loss = nll, lr = 0.001
gmean = 0.898812537927298, f1 = 0.8932326772715018, acc = 0.8981481481481481, k = 200, loss = nll, lr = 0.0001
gmean = 0.8993427109973587, f1 = 0.8945406125166444, acc = 0.8981481481481481, k = 100, loss = pairwise, lr = 0.0001
gmean = 0.9008799673968383, f1 = 0.8957104557640752, acc = 0.8999485596707819, k = 100, loss = self_adversarial, lr = 0.0001
gmean = 0.906251190820017, f1 = 0.9010900282599921, acc = 0.9054783950617284, k = 150, loss = pairwise, lr = 0.001
gmean = 0.7962203024482696, f1 = 0.79300064808814, acc = 0.7946244855967078, k = 150, loss = self_adversarial, lr = 0.001
gmean = 0.9021698613840682, f1 = 0.8972337297875185, acc = 0.9011059670781894, k = 100, loss = nll, lr = 0.0001
gmean = 0.9015301001095521, f1 = 0.8967905180450126, acc = 0.9003343621399177, k = 150, loss = pairwise, lr = 0.0001
gmean = 0.8333059225519668, f1 = 0.8287061288632793, acc = 0.8317901234567902, k = 150, loss = nll, lr = 0.001
gmean = 0.9006647501505546, f1 = 0.895741556534508, acc = 0.8995627572016461, k = 150, loss = self_adversarial, lr = 0.0001
gmean = 0.8986367419509812, f1 = 0.892996896505195, acc = 0.8980195473251029, k = 200, loss = pairwise, lr = 0.001
gmean = 0.9011675931583578, f1 = 0.8964599414426403, acc = 0.8999485596707819, k = 150, loss = nll, lr = 0.0001
gmean = 0.8249439059190019, f1 = 0.821651090342679, acc = 0.8233024691358025, k = 200, loss = nll, lr = 0.001
gmean = 0.7944541431163861, f1 = 0.7925840092699885, acc = 0.7928240740740741, k = 200, loss = self_adversarial, lr = 0.001
gmean = 0.8976003360326716, f1 = 0.8920592193808884, acc = 0.8968621399176955, k = 200, loss = pairwise, lr = 0.0001
gmean = 0.896909622141635, f1 = 0.8908794788273616, acc = 0.8966049382716049, k = 200, loss = self_adversarial, lr = 0.0001
