gmean = 0.8783339634029325, f1 = 0.8400000000000001, acc = 0.8744855967078189, k = 50, loss = nll, lr = 0.001
gmean = 0.9174129568263044, f1 = 0.8925337433794635, acc = 0.9191100823045267, k = 50, loss = pairwise, lr = 0.001
gmean = 0.8374002318143325, f1 = 0.7900000000000001, acc = 0.8271604938271605, k = 50, loss = self_adversarial, lr = 0.001
gmean = 0.8980771038436564, f1 = 0.8720097782434084, acc = 0.9057355967078189, k = 50, loss = self_adversarial, lr = 0.0001
gmean = 0.8993432579167381, f1 = 0.8726136758070115, acc = 0.9056069958847737, k = 50, loss = nll, lr = 0.0001
gmean = 0.9019589391884262, f1 = 0.8752160387141377, acc = 0.9071502057613169, k = 50, loss = pairwise, lr = 0.0001
gmean = 0.9081739658394595, f1 = 0.8775612193903048, acc = 0.9054783950617284, k = 100, loss = pairwise, lr = 0.001
gmean = 0.8131871014484053, f1 = 0.7632058287795993, acc = 0.7993827160493827, k = 100, loss = self_adversarial, lr = 0.001
gmean = 0.8365051066356227, f1 = 0.7890021624961383, acc = 0.8243312757201646, k = 100, loss = nll, lr = 0.001
gmean = 0.8967187583429419, f1 = 0.8678467090565389, acc = 0.9011059670781894, k = 100, loss = pairwise, lr = 0.0001
gmean = 0.8962240302148419, f1 = 0.8684803326979726, acc = 0.902391975308642, k = 100, loss = self_adversarial, lr = 0.0001
gmean = 0.9070324407608326, f1 = 0.8764607679465777, acc = 0.904835390946502, k = 150, loss = pairwise, lr = 0.001
gmean = 0.8133671620538201, f1 = 0.7628294036061026, acc = 0.8020833333333334, k = 150, loss = self_adversarial, lr = 0.001
gmean = 0.8974628330549725, f1 = 0.869100930072339, acc = 0.9022633744855967, k = 100, loss = nll, lr = 0.0001
gmean = 0.9032392785327055, f1 = 0.8751709986320109, acc = 0.9061213991769548, k = 150, loss = pairwise, lr = 0.0001
gmean = 0.8469007908635531, f1 = 0.801206732295967, acc = 0.8389917695473251, k = 150, loss = nll, lr = 0.001
gmean = 0.9007730573217436, f1 = 0.8741767764298094, acc = 0.9066358024691358, k = 200, loss = nll, lr = 0.0001
gmean = 0.895110646269621, f1 = 0.8683199441145653, acc = 0.9030349794238683, k = 150, loss = self_adversarial, lr = 0.0001
gmean = 0.902232092103616, f1 = 0.871553463349025, acc = 0.9017489711934157, k = 200, loss = pairwise, lr = 0.001
gmean = 0.8955615609833749, f1 = 0.8668965517241378, acc = 0.9007201646090535, k = 150, loss = nll, lr = 0.0001
gmean = 0.8359772947556852, f1 = 0.788368838438812, acc = 0.824974279835391, k = 200, loss = nll, lr = 0.001
gmean = 0.8976395635571254, f1 = 0.8720644935155976, acc = 0.9061213991769548, k = 200, loss = self_adversarial, lr = 0.0001
gmean = 0.8216111847588229, f1 = 0.7727891156462585, acc = 0.8067129629629629, k = 200, loss = self_adversarial, lr = 0.001
gmean = 0.9082956939034751, f1 = 0.8822417053463985, acc = 0.9119084362139918, k = 200, loss = pairwise, lr = 0.0001
