conf,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_50,c_51,c_52,c_53,c_54,c_55,c_56,c_57,c_58,c_59,c_60,c_61,c_62,c_63,c_64,c_65,c_66,c_67,c_68,c_69,c_70,c_71,c_72,c_73,c_74,c_75,c_76,c_77,c_78,c_79,c_80,c_81,c_82,c_83,c_84,c_85,c_86,c_87,c_88,c_89,c_90,c_91,c_92,c_93,c_94,c_95,c_96,c_97,c_98,c_99
conf_0,-0.109569885,-0.3077442,0.108002976,0.034018293,0.20800652,-0.10925144,0.122685246,0.2585426,-0.22061808,-0.19444783,-0.076534644,0.36340138,-0.24369834,0.27005032,-0.11271394,0.093466796,0.11446258,0.015386367,-0.11616096,0.042503394,0.0045929854,-0.075658925,0.148161,-0.21229888,0.26481864,0.040406372,-0.21228968,-0.13361122,-0.17831028,0.006123564,0.302955,-0.14381237,0.058074232,0.112293616,0.11556799,-0.1567563,-0.07057827,-0.3942072,-0.16415837,0.24742106,-0.16354312,-0.114822045,-0.3037189,-0.06654879,-0.17446236,-0.11157053,-0.39197984,0.21112104,0.3494259,0.15470287,0.24783337,0.19635604,0.26168814,-0.18583526,-0.1614382,0.10439503,0.09084617,0.15542415,-0.1319327,0.18741553,-0.18411309,-0.111224316,0.0745106,-0.14963484,0.16382314,-0.323088,0.2663915,0.2676167,-0.11777474,0.1535818,-0.19367728,0.37693557,-0.26914927,-0.3298625,0.19574204,-0.3145284,-0.17868689,0.14651719,0.07886414,0.14164089,-0.26864985,0.37469158,-0.11648814,0.27283457,0.15682721,0.20300978,-0.24471126,-0.13680524,-0.053807113,-0.1330973,0.21371303,-0.32086903,-0.13786806,0.17046253,0.19831789,-0.32531846,-0.030430626,0.17398918,-0.18367533,-0.018713167
conf_1,-0.08104331,-0.19539009,0.101644464,0.13668622,-0.2183145,-0.07575103,0.29919383,0.1449733,-0.048345033,-0.19883399,0.2264936,0.30060443,-0.15363535,0.19482322,-0.3704951,0.25601983,0.21626459,0.27601913,-0.08516167,0.26345426,0.043035556,-0.1429293,0.2693547,-0.18349501,0.1954927,0.21861656,-0.1366418,-0.23243749,-0.061105438,-0.022628896,0.031175261,-0.09842314,-0.12421866,0.25032058,-0.109471835,-0.08388696,-0.1001963,0.04741301,-0.18918367,0.019840736,-0.059849966,-0.21618262,-0.26050088,-0.008876464,-0.1723628,-0.12696135,0.08966378,0.22268732,0.41919526,0.16807966,0.19729479,0.030489793,0.14939226,-0.18866536,-0.22018275,0.17338777,0.2297677,0.29036173,-0.069962256,0.020555187,-0.05040315,-0.23100755,-0.1230929,-0.1665104,0.16143383,0.027465366,0.18009605,0.088443965,-0.11268443,0.008081408,-0.14019206,-0.15295574,-0.16805142,-0.33827582,0.2736521,0.20498897,-0.31308663,0.19721536,0.31652534,0.10215853,0.13399926,0.006243281,0.3311732,0.1624281,0.14610624,0.25193778,-0.09848846,-0.15074714,-0.0003696455,-0.11173007,0.08122935,-0.18618073,-0.14617105,0.028346568,0.1375481,-0.34334326,-0.008473057,0.012102989,-0.09066008,0.13956912
conf_2,-0.21132663,-0.08183252,0.13551337,-0.14037393,0.15031214,0.10911727,0.21326041,0.11521713,-0.2126748,-0.18985784,0.11606357,0.37427604,-0.16710097,0.17671448,-0.31832185,0.17740484,-0.108438134,0.054233454,-0.08993593,0.054586343,-0.21936081,-0.1295188,-0.023410581,-0.14048833,0.11373791,0.15844752,-0.12941346,-0.061986774,-0.19920735,-0.06956478,0.08302735,-0.14842469,-0.11461911,-0.044780012,-0.26041108,-0.23595808,-0.20750837,-0.396948,-0.1557246,0.073087804,-0.218159,-0.20338352,-0.20688316,-0.117027394,-0.19242267,-0.08053735,-0.27681708,0.078774124,0.36440104,0.2326664,0.23149921,0.30196732,0.3102984,-0.21362394,-0.18288314,0.2232641,0.19556987,0.10087427,-0.094225325,-0.1962235,-0.20747687,-0.15427387,-0.049121935,-0.17088754,0.19851479,-0.13760486,0.24453829,0.11250096,0.037449803,0.18378584,-0.15631954,0.021027928,-0.095692925,-0.1909246,0.162271,-0.2884838,-0.23049659,0.19750224,0.19052152,0.17153467,0.0073813046,0.19482781,-0.26141018,0.19038178,0.11481666,0.16551736,-0.19257604,-0.1367681,-0.30991578,-0.2260568,0.16204946,-0.31540808,-0.21566884,-0.09605455,0.14594135,-0.172268,-0.12029725,0.2071912,-0.073111504,-0.28060877
conf_3,-0.20840219,-0.18503855,0.08382845,-0.10522127,-0.1052908,-0.035111416,0.08838023,0.17433938,-0.028925842,-0.28854755,0.03171419,0.00096733693,-0.13177742,0.20753509,-0.23029591,0.24596968,0.07659515,-0.44529456,-0.24478844,-0.025739478,0.30109477,-0.20365115,-0.09938639,-0.107287146,0.2681962,0.11290926,-0.15603282,-0.1588241,-0.14864177,-0.12763324,0.012758611,-0.2453503,-0.40574336,0.17656343,-0.22098862,-0.16872805,0.008475404,-0.4144847,-0.10028575,0.1597042,-0.1128761,-0.09592693,-0.0027401398,0.079143494,-0.22112226,-0.18732327,0.29060298,0.08590859,0.2229731,0.12181267,0.17786488,0.1286279,0.28694597,-0.13273992,-0.100351945,0.16154934,0.2099456,0.10992407,-0.019832622,-0.2660588,-0.22081079,-0.060583625,0.02469055,-0.334304,0.27189082,0.0009532123,0.24698275,0.24778493,0.0400377,0.1701967,-0.2079061,-0.3229698,-0.2627568,-0.40108153,0.16506097,0.288885,-0.28467095,0.15620016,0.24992195,0.2639042,-0.1902066,0.24322943,0.575383,0.1866675,0.054009415,0.1656631,-0.28689998,0.020197734,-0.24987486,0.020142503,0.20339485,-0.23500179,-0.23692332,0.068836704,0.09591191,-0.32154566,-0.21290945,0.06506448,-0.02885715,0.22699365
conf_4,-0.1308218,-0.1860328,-0.015051325,-0.17919022,0.20441249,-0.16258954,0.05585039,0.12681578,-0.12327446,-0.2557205,-0.23721986,0.2606809,-0.15991282,0.26275778,-0.16981588,0.219546,-0.16710614,-0.24570824,-0.102399245,0.04903591,-0.08683037,-0.06745261,-0.14880688,-0.17108469,0.16766286,0.194419,-0.18907467,-0.21721491,-0.1851954,0.013063061,0.26155016,-0.025226047,-0.08149436,0.026633743,-0.2808948,-0.303748,-0.13630654,-0.2562597,-0.24714856,0.22246249,-0.2628362,-0.1609358,-0.077146776,0.11224142,-0.22560547,0.028301127,-0.121089384,0.074046545,0.4172634,0.08942663,0.29119933,0.2261327,-0.0792332,-0.12388292,-0.19362964,0.09661545,0.18654731,0.029471576,-0.04148825,-0.03673279,-0.26068747,-0.13967606,-0.20753479,0.004445242,0.17987804,0.058626678,0.20128754,0.08470301,-0.051826954,0.2300522,-0.17157874,-0.22945787,-0.072889686,-0.013091608,0.12567414,-0.040808823,-0.22281091,0.10655094,0.12949674,0.108754456,-0.5318796,0.1288858,-0.052403383,0.21005788,0.10837664,0.23629819,-0.31741735,-0.15823926,-0.17724296,-0.21624522,0.09880553,-0.09788288,-0.21773274,0.34075308,0.03598201,-0.09693102,-0.37777063,0.14965476,-0.14701386,-0.18806072
conf_5,-0.12183019,-0.09469451,0.017159052,-0.011989223,-0.21083201,-0.113725685,0.022855598,0.17926876,-0.26680413,0.1875511,-0.22250043,0.042468835,-0.1498959,0.16224274,-0.08903412,0.215138,0.02276208,0.34966156,-0.32769892,-0.13472456,0.14219679,-0.2965402,0.27614713,-0.17261395,0.19198817,0.13698289,-0.26122522,-0.11978643,-0.15888561,0.16077748,0.055857882,-0.1651674,-0.17810252,0.109620295,-0.26586702,-0.15691127,-0.019881487,-0.15543088,-0.20741549,0.024378577,-0.12794332,-0.22291394,-0.1728422,-0.06480851,-0.16158344,-0.11406881,0.19693378,0.15472269,0.1636764,0.2138532,0.21568501,0.17500761,0.23186672,-0.15050676,-0.21384984,0.18625586,0.34873217,0.24650346,0.0462988,0.43891418,-0.2546657,-0.23798926,-0.38939512,-0.014749281,0.17666888,-0.02465867,0.17286825,0.044240084,0.38666183,0.08933078,-0.14510545,-0.22721934,-0.05646936,-0.33170474,0.16794136,0.4343162,-0.17245436,0.19114709,0.19278498,0.13219377,-0.04370347,0.25104326,0.2371732,0.21583289,0.07220357,0.21021707,-0.15783283,-0.26053762,-0.12503456,-0.10005266,0.15695308,-0.20899361,-0.085769296,0.030011313,0.13931607,-0.33651212,-0.091089144,0.0062542344,-0.1844049,-0.12503089
conf_6,-0.15752253,-0.2103625,0.036771767,-0.096823,0.19654413,-0.033579044,0.2696597,0.10592389,-0.24550249,-0.08091144,-0.121622026,0.031487964,-0.12062711,0.19552392,-0.22921488,0.22186054,-0.17864323,0.2162679,-0.30883622,-0.060424652,-0.18159504,-0.26112872,-0.29076976,-0.23879771,0.18142289,0.30087525,-0.21737161,-0.18320708,-0.20185024,0.25059023,0.11117533,-0.12635712,-0.119705975,0.20401327,-0.24124691,-0.25544408,-0.06336877,-0.07329197,-0.20640269,0.21618864,-0.15575325,-0.060209207,-0.10782186,-0.27102932,-0.18819183,-0.010283573,-0.2816914,0.16378015,0.26528594,0.17643759,0.1568026,0.19072574,0.26049536,-0.18188255,-0.13261251,0.22671397,0.18619291,0.24155511,-0.115365446,0.106512725,-0.109412596,-0.12336955,0.13364145,0.002351006,0.16450539,-0.046272736,0.22068849,0.13413818,0.410482,0.17157769,-0.13244838,0.3109677,-0.08990072,-0.046690736,0.13787329,-0.042284805,-0.20005925,0.20140214,0.09556708,0.02806404,0.32431918,0.23684727,-0.14742072,0.16287124,0.27536613,0.21168292,-0.39664733,-0.2289663,-0.14486647,-0.22199133,0.031145014,-0.24577777,-0.22348997,-0.0016235377,0.20664705,-0.13927022,-0.28190595,0.07448451,-0.22438265,-0.012430913
conf_7,-0.11377715,-0.053679053,-0.02354143,-0.08516965,0.007533384,-0.030642508,0.31179565,0.21651514,-0.1527985,0.013952421,0.08769737,-0.08438001,-0.11372277,0.24414594,-0.14544763,0.2576018,0.21255316,0.39168778,-0.021013118,0.16557008,-0.059958536,-0.16497068,0.14899652,-0.1976969,0.14266184,0.14631401,-0.17580447,-0.14612535,-0.14468113,0.23184934,-0.092794895,-0.12589721,-0.32046428,0.109890506,-0.34340438,-0.1642677,-0.11794356,-0.15047954,-0.21575768,0.32572725,-0.064819194,-0.15064064,-0.22631702,-0.3276197,-0.22443213,-0.036990397,0.5197604,0.05174456,0.35151428,0.24635471,0.19525287,0.06928687,0.044069923,-0.09678649,-0.25561714,0.14952031,0.15295848,0.06729067,-0.13782056,0.14083321,-0.054101504,-0.24322626,-0.18186176,-0.074317835,0.065570064,-0.15278296,0.22159243,0.08427111,-0.051606685,0.167914,-0.20318517,-0.32618988,-0.09676069,-0.24827336,0.17793468,0.40376437,-0.15579306,0.26789615,0.3409318,0.18304697,0.4203802,0.040755875,0.22050929,0.26083243,0.21245755,0.1387157,0.023141757,-0.16185237,-0.08028566,-0.06777141,0.3020121,-0.17732322,-0.19633122,-0.07356607,0.18999772,-0.23091362,-0.21298942,0.3491465,-0.1242969,-0.06659726
conf_8,-0.1803611,-0.17204517,0.26905072,0.019205874,0.2888473,0.021824941,0.13974854,0.18202682,-0.1674152,-0.2691366,0.31192678,0.35151744,-0.25918835,0.16322914,-0.13577516,0.15384011,-0.18578808,-0.046973437,-0.087050065,0.34307563,-0.26165286,-0.23317261,-0.023819463,-0.17716423,0.12509266,0.07595505,-0.19520609,-0.18307976,-0.16507208,0.15915343,0.20003186,-0.04016848,-0.19557776,0.21810238,-0.11306311,-0.17714743,-0.28188518,-0.0011866407,-0.20872928,0.3144512,-0.13540621,-0.14796138,-0.079991534,-0.11856805,-0.18096317,-0.10547722,0.13513424,0.257599,0.21990907,0.17187443,0.23844111,0.20412627,0.12929143,-0.21549387,-0.15446691,0.22326729,0.16916597,0.077527806,-0.09906532,-0.09727919,-0.24234374,-0.23915036,-0.15985553,-0.0261025,0.21072306,0.0014996398,0.17826232,0.29046455,-0.116035774,0.20571205,-0.16658391,-0.23583493,-0.046928838,-0.2019795,0.10614046,-0.22951439,-0.1796083,0.1660155,0.2013434,0.18302016,-0.19498518,-0.04290448,-0.011960047,0.12574215,0.06810184,0.22654435,-0.2523742,-0.100139774,-0.13557667,-0.21327731,0.022483496,-0.29533952,-0.11562057,0.20473215,0.19200347,-0.21180658,-0.1955344,-0.052687462,-0.2320789,-0.44958633
conf_9,-0.028143188,-0.18776618,0.061565712,-0.05800851,-0.031516787,0.018992642,0.14320225,0.17294747,-0.10462974,-0.08880371,0.16226327,0.17983581,-0.08995853,0.14447251,-0.24544959,0.17776859,0.04617681,-0.055294342,-0.12737826,0.13967063,-0.08412225,-0.18263155,-0.21779656,-0.104188986,0.19844672,-0.0056782435,-0.060467497,-0.124429286,-0.15013945,-0.0053997943,0.016264932,-0.11907797,-0.341032,0.2822507,-0.28210026,-0.11396576,-0.07319873,0.35243118,-0.122930296,0.029331783,0.011555644,-0.13218997,-0.10249093,0.039344143,-0.13992235,-0.10706516,0.35995418,0.11645566,0.19942588,0.17257406,0.2978653,0.0065294765,0.29881454,-0.15425193,-0.08423815,0.08321308,0.12577505,0.20386167,-0.017751891,0.05834039,-0.17628758,-0.19861174,0.034175668,-0.042777985,0.14249334,-0.16375054,0.2958304,0.19008234,-0.042068955,0.12021285,-0.23579496,-0.3329508,-0.2010851,-0.32404912,0.16833615,0.25389546,-0.34800094,0.12796395,0.30904078,0.09821047,0.095134474,0.23403743,0.3101418,0.14623997,0.13413993,0.17094679,-0.18157685,-0.21259068,0.042499736,-0.2524606,0.048416436,-0.20739906,-0.080083944,0.063476466,0.056181755,-0.22832327,-0.16466829,-0.0566045,-0.1854821,-0.004808309
