problem,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99
f1_i1,0.15667787,-0.08334676,0.23580389,-0.24437852,-0.24212806,0.25860775,-0.15183178,-0.17753716,0.15637968,-0.25157964,0.17221391,-0.29182127,0.27877825,-0.2658792,0.14761873,-0.17896602,-0.3095791,0.2740644,0.045816015,0.13050754,-0.1959051,-0.2336816,-0.2437307,0.20897785,-0.2540636,0.18987009,0.31255165,0.14624283,0.27582192,0.18633923,0.16247174,-0.21358311,0.24878411,0.25432518,0.20228224,0.15069664,0.30730432,0.14420825,0.29101023,-0.19264984,-0.18499793,0.27553257,0.20984033,-0.12845917,0.14815283,0.25988394,0.10163041,0.25219586,-0.20724337,0.170383,-0.18548907,0.2583152,0.14069323,0.00594371,0.07095603,0.07752982,-0.10174141,-0.18236792,-0.16735466,-0.052446708,0.104076214,0.25109792,-0.16381499,-0.0956067,-0.15398993,-0.1698857,-0.2128475,0.0653877,-0.20685649,0.17343663,0.11531903,0.13091329,-0.14611648,-0.22018275,-0.20046,0.25270465,0.14619082,-0.13060196,-0.117094524,0.20225506,0.06688696,-0.1027592,0.17327029,-0.26282293,0.043399915,-0.23289104,-0.16659646,0.08022143,-0.19182676,-0.22189604,-0.17180833,0.16713285,0.21099578,0.04857434,0.22948366,-0.20134507,-0.2742404,0.24139065,0.25828007,0.21025123
f1_i2,0.21122275,-0.13717557,0.24327753,-0.2791551,-0.18461606,0.23515995,-0.27777192,-0.27240035,0.23303922,-0.11441988,0.12083643,-0.28051186,0.18084389,-0.16504574,0.1628602,-0.3019051,-0.20973794,0.17352705,-0.15385553,0.10867721,-0.18673664,-0.13083008,-0.3262063,0.07054838,-0.1477614,0.2448277,0.14592604,0.22162326,0.08712581,0.14034878,0.14601481,-0.2977336,0.22868069,0.19438364,0.25974697,0.16550778,0.2176596,-0.018553652,0.24400751,-0.24498983,-0.12951152,0.27213648,0.22398801,-0.17768061,0.19353634,0.27755648,0.23105697,0.15655091,-0.20761363,0.06740086,-0.1891481,0.24941084,0.13470544,0.1940636,0.23684403,0.1414123,-0.14396252,-0.12588212,-0.101370476,-0.04982704,0.17956646,0.20617476,-0.26493043,-0.19863743,-0.25613102,-0.06467466,-0.11228549,0.09129893,-0.24109699,0.2037242,0.24460639,0.26315263,-0.19249187,-0.29286775,-0.23739626,0.19713143,0.25078687,-0.20111987,-0.1835428,0.23093358,0.00083274156,-0.16093335,-0.16362628,-0.21709554,0.21243353,-0.12476759,-0.24460594,0.3040468,-0.12743905,-0.031472992,-0.1079754,0.15878218,0.05164975,0.11134315,0.2130588,-0.17838164,-0.30177227,0.29070255,0.06089797,0.18722054
f1_i3,0.20510507,-0.14241877,0.15585248,-0.21201093,-0.20912579,0.21909037,-0.30909762,-0.22418122,0.2099093,-0.23262592,0.1278712,-0.2999604,0.18405338,-0.1623853,0.21701182,-0.2415422,-0.20682685,0.25557438,0.1505061,0.25278413,-0.15615971,-0.25074401,-0.21774378,0.26432493,-0.25964463,0.28911692,0.15697517,0.18615574,0.17898515,0.20204559,0.25891253,-0.23155572,0.18777518,0.17368452,0.21754602,0.2518861,0.23371354,0.12435382,0.17733066,-0.19326177,-0.14257032,0.21618633,0.27207637,-0.13288553,0.14620982,0.19841483,0.095796525,0.05860243,-0.21506001,0.2961184,-0.17039615,0.21161263,0.022681471,0.2622087,0.17388211,0.15159285,-0.14301892,-0.2406477,-0.23215234,-0.038740788,0.15970254,0.21877111,-0.1549009,-0.08519268,-0.17464897,-0.041952215,-0.283826,0.039224725,-0.08224891,0.20125301,0.27988976,0.24627636,-0.24861081,-0.07318414,-0.26509333,0.07550062,0.1714439,-0.10854695,-0.14497276,0.13092482,-0.15514803,-0.30214125,0.05688231,-0.21374927,0.07100905,-0.10093165,-0.26459578,0.267085,-0.22448163,0.20858803,-0.12547196,0.07762235,-0.03752606,0.14126337,0.14945394,-0.25478035,-0.27824277,0.23735623,0.16830203,0.088305935
f1_i4,0.22706108,-0.10243306,0.15870303,-0.2431191,-0.33018756,0.19912337,-0.23706695,-0.21597704,0.29405525,-0.29833248,0.2556915,-0.21565023,0.23198004,-0.22911018,0.21033092,-0.20544092,-0.19332096,0.14921649,0.08366466,0.22895841,-0.14379284,-0.13648988,-0.1380693,0.26570246,-0.22274621,0.19577366,0.3417832,0.15550895,0.20674916,0.19117011,0.17881559,-0.30988705,0.18591306,0.21542957,0.21990396,0.2690123,0.11090593,0.23876594,0.119814694,-0.23400703,-0.10818075,0.21402393,0.15879667,-0.24512823,0.14340223,0.19124627,0.104019344,0.2943666,-0.22335942,0.18435445,-0.23495297,0.1487231,0.2028103,0.10264767,0.14990784,0.15313964,-0.23495568,-0.16765766,-0.17602862,0.05189099,0.1519969,0.25448564,-0.23000251,-0.19609985,-0.26991162,-0.094366096,-0.23495914,0.26410663,-0.15506275,0.206866,0.2418372,0.32153141,-0.06464956,-0.056357026,-0.17810357,0.19608489,0.25629437,-0.2118,-0.26182923,0.09300124,-0.06227986,-0.15307388,-0.019850483,-0.15696584,0.1450628,-0.109493844,-0.14387695,0.16222422,-0.13230705,-0.13626039,-0.21660751,0.17825776,0.21520896,0.021841874,0.27032596,-0.15739012,-0.18713292,0.18715641,0.2440689,0.22731799
f1_i5,0.15357214,-0.17154422,0.1905747,-0.16196083,-0.22524324,0.1622353,-0.18024768,-0.2333959,0.16931,-0.1992229,0.25146967,-0.26223618,0.083698496,-0.22700323,0.12393654,-0.23779155,-0.29040867,0.2579234,0.10468623,0.07286666,-0.16616601,-0.19560118,-0.069280505,0.12988128,-0.1654041,0.15046777,0.17906582,0.16569115,0.102232434,0.20957278,0.2307426,-0.32440272,0.18569246,0.26941732,0.2542173,0.22362031,0.323064,0.14288643,0.14451094,-0.14775376,-0.18165205,0.28298774,0.19906954,-0.18838295,0.20206499,0.2719615,0.21662448,0.11216517,-0.24402696,0.22563578,-0.24015054,0.2251054,0.31619805,0.17755346,0.17247728,0.097861715,-0.18818986,-0.17956477,-0.18067192,0.053348348,0.1940959,0.13088557,-0.13087125,-0.2401645,-0.19911824,-0.078389175,-0.21781418,0.1454633,-0.21649526,0.10296042,0.15496033,0.13346119,-0.17341433,-0.29581934,-0.1806084,0.205966,0.25042108,-0.14812243,-0.25272584,0.108491205,-0.10478616,-0.16936804,0.07035959,-0.21986324,0.173346,-0.15187569,-0.093674496,0.21687052,-0.19488837,-0.19174848,-0.1311278,0.11866592,0.09101686,0.007290305,0.23861086,-0.16131566,-0.17986843,0.16201876,0.1463405,0.17519303
f2_i1,0.22323827,-0.11478177,0.20332107,-0.21430917,-0.12029064,0.13379374,-0.21622871,-0.19669034,0.086431816,-0.18479705,0.24643914,-0.26268387,0.21568531,-0.2644711,0.124860734,-0.16510466,-0.18275507,0.19938296,0.04610141,0.25895926,-0.21923432,-0.14005183,-0.26168096,0.12575921,-0.2027372,0.15286021,0.13311952,0.20947808,0.23560956,0.15355913,0.22743437,-0.26326314,0.25996834,0.05286028,0.25828946,0.08024895,0.1302455,0.17544468,0.14027183,-0.23915412,-0.088049755,0.26441482,0.28007376,-0.12995417,0.15070838,0.14380263,0.1275209,0.22045018,-0.23360035,0.27376887,-0.23951988,0.22690864,-0.097965546,0.23857798,0.25788653,0.16754037,-0.20125392,-0.22839457,-0.26184013,0.104827374,0.18078497,0.21524216,-0.29220983,-0.08929015,-0.24374305,-0.25748643,-0.20951805,0.29501462,-0.13466477,0.1511177,0.18229388,0.107856125,-0.18144777,-0.190374,-0.2002154,0.2164285,0.20349677,-0.16470824,-0.15711509,0.21872887,0.06104872,-0.13937727,0.03123756,-0.1676746,0.24601057,-0.091455795,-0.14047943,0.12434302,-0.23784451,0.06758978,-0.23002286,0.13880068,-0.053519588,0.21360199,0.14749931,-0.19608197,-0.11799877,0.17865598,0.13520499,0.26485142
f2_i2,0.2152465,-0.17252713,0.21269226,-0.17442328,-0.1755432,0.22946161,-0.15163982,-0.1794143,0.22639793,-0.16050917,0.15661593,-0.21218954,0.19514985,-0.25691554,0.20955801,-0.13197161,-0.24510641,0.28339788,-0.2141609,0.18566197,-0.15806974,-0.10678121,-0.2192327,0.23443304,-0.24387212,0.16764314,0.13445325,0.12836272,0.21492259,0.24610586,0.12064682,-0.28543627,0.242258,0.2672136,0.10912654,0.2976498,0.08118369,0.22482389,0.07177997,-0.19954057,-0.24226698,0.28159592,0.1848433,-0.18826394,0.13033326,0.2047451,0.11275342,0.18952477,-0.2763766,0.18998362,-0.12590481,0.18752913,0.022190494,0.16635521,0.16602258,0.28821054,-0.15277272,-0.07736142,-0.14007759,-0.049545344,0.18382658,0.3012841,-0.26766452,-0.021351488,-0.20522732,-0.18878609,-0.1629101,0.049660202,-0.17664722,0.13547225,0.19608472,0.21522862,-0.10334037,-0.1903766,-0.1896623,0.1644679,0.20603219,-0.19924612,-0.15028645,0.1488368,0.17496277,-0.116711855,0.07316005,-0.13812068,0.33885118,-0.27546716,-0.2716482,0.20408224,-0.2419651,-0.05073238,-0.14242913,0.16874263,0.025320843,0.13743988,0.24213952,-0.26807737,-0.16800922,0.2662566,0.20261766,0.21409686
f2_i3,0.16471876,-0.119379655,0.24932069,-0.2643362,-0.19909732,0.13215427,-0.27328306,-0.089309484,0.18268315,-0.22044584,0.18488304,-0.27768922,0.16336082,-0.21700379,0.14292744,-0.19576702,-0.22119923,0.2423743,0.092218265,0.21044764,-0.23795782,-0.20545153,-0.31052384,0.26243833,-0.20903882,0.11343841,0.06905898,0.09501845,0.2314911,0.20248571,0.21806544,-0.12572731,0.21726048,0.068459675,0.1391674,0.18521975,0.16048461,-0.017063178,0.22541259,-0.19229828,-0.1647065,0.3070392,0.17164962,-0.18925631,0.09124555,0.23182185,0.18487549,0.22335038,-0.22866756,0.11007105,-0.23154965,0.27378902,-0.0018238883,-0.03206299,0.20288573,0.25449046,-0.1779719,-0.27414024,-0.19951476,0.19003773,0.26618946,0.28273767,-0.19996098,-0.094670035,-0.2159929,-0.28202602,-0.21773279,0.14568584,-0.19200905,0.12333796,0.21170807,0.23357204,-0.1455369,-0.26615182,-0.24175867,0.28939697,0.21943173,-0.21388537,-0.2120593,0.14375827,0.17858657,-0.25907883,-0.08265535,-0.17717429,0.1968376,-0.21418944,-0.2262353,0.10359792,-0.19523765,0.23973252,-0.15662467,0.17577213,-0.13368645,-0.024850208,0.22262856,-0.21593389,-0.17705563,0.09960614,0.19183823,0.24918272
f2_i4,0.18056323,-0.18234926,0.25475845,-0.09453303,-0.21902193,0.11187178,-0.21819322,-0.2178315,0.19329137,-0.22819956,0.239058,-0.15188229,0.13310504,-0.23449136,0.15088081,-0.29535973,-0.18118906,0.1840982,0.21835381,0.07373934,-0.21734641,-0.1376007,-0.2431596,0.18812001,-0.14628223,0.24571544,0.1212558,0.0538513,0.19335698,0.10600646,0.23419623,-0.24279697,0.26611263,0.22588557,0.20391484,0.13847919,0.015288625,0.07920854,0.05100515,-0.16324343,-0.08107608,0.24457164,0.18299691,-0.19124079,0.1916536,0.12907052,0.20353836,0.07284005,-0.2969314,0.115984514,-0.21527289,0.23663901,-0.1222023,0.32923725,0.20036975,0.12166471,-0.22796078,-0.11099013,-0.2582417,0.25815484,0.117400706,0.24861689,-0.18947485,-0.31274423,-0.23717745,-0.09775079,-0.29934433,0.29938877,-0.20160933,0.28501365,0.15709178,0.22065347,-0.36504358,-0.18848205,-0.17648017,0.2512803,0.19689119,-0.11908414,-0.20325617,0.10542488,-0.052721728,-0.24455823,-0.103708506,-0.2086759,0.28921714,-0.1353956,-0.17268841,0.13479091,-0.24026684,0.38330448,-0.24495456,0.26125094,-0.1711966,0.17451176,0.26386452,-0.15247045,-0.10838847,0.14966233,0.16107379,0.2322416
f2_i5,0.26969638,-0.24787417,0.26995838,-0.19850174,-0.115048274,0.11457543,-0.2006061,-0.18041985,0.24920146,-0.14650054,0.20955633,-0.31872427,0.2328726,-0.2532995,0.21550658,-0.24547781,-0.2194226,0.24212326,0.20687929,0.28457952,-0.14979441,-0.22490051,-0.1266755,0.20581421,-0.20342393,0.135295,0.20655237,0.2016731,0.13340196,0.21678977,0.25508928,-0.20841181,0.15235636,0.028450541,0.14737941,0.23048964,0.15521482,0.19550331,0.13076398,-0.21363744,-0.16356906,0.15834397,0.15721023,-0.15233861,0.14242008,0.16854571,0.19067417,0.20024094,-0.22302431,0.3315197,-0.17224671,0.22423235,0.067920014,0.22056223,0.18050323,0.17976794,-0.17801964,-0.17308144,-0.09498443,-0.016975034,0.30332017,0.22389056,-0.16786727,-0.22469579,-0.17285307,-0.16823246,-0.17639652,0.17964582,-0.26996428,0.19153005,0.14781919,0.16621605,-0.40517884,-0.20471108,-0.20905904,0.23793377,0.16394427,-0.15646489,-0.11548835,0.23424348,0.22600126,-0.23042215,-0.25122893,-0.17567846,0.3352533,-0.1644146,-0.19348879,0.09191321,-0.1463883,0.2003769,-0.16856632,0.2635681,-0.08990699,0.07173942,0.13678032,-0.22125068,-0.06860921,0.17199033,0.23119111,0.22458601
